Date,Close,Predictions
2020-10-30,433.75,437.25452
2020-11-02,457.4,442.79187
2020-11-03,454.6,448.05576
2020-11-04,453.05,452.851
2020-11-05,457.3,456.9894
2020-11-06,449.9,460.42874
2020-11-09,471.8,463.0083
2020-11-10,466.4,465.13712
2020-11-11,478.6,467.0889
2020-11-12,479.85,469.2609
2020-11-13,475.75,471.8807
2020-11-14,481.5,474.8379
2020-11-17,484.55,477.99948
2020-11-18,478.4,481.24374
2020-11-19,468.55,484.2661
2020-11-20,483.7,486.55743
2020-11-23,477.25,488.13794
2020-11-24,474.25,489.04437
2020-11-25,464.1,489.3024
2020-11-26,468.4,488.76358
2020-11-27,463.25,487.5044
2020-12-01,479.45,485.62473
2020-12-02,484.9,483.6899
2020-12-03,479.9,482.34793
2020-12-04,493.75,481.87955
2020-12-07,508.95,482.60345
2020-12-08,503.6,484.92447
2020-12-09,503.05,488.74847
2020-12-10,505.15,493.60962
2020-12-11,504.4,498.9262
2020-12-14,503.05,504.10013
2020-12-15,504.2,508.61304
2020-12-16,516.2,512.1605
2020-12-17,515.1,514.9247
2020-12-18,510.65,517.13513
2020-12-21,490.9,518.85614
2020-12-22,500.3,519.6305
2020-12-23,507.2,519.37427
2020-12-24,517.3,518.4118
2020-12-28,521.6,517.3959
2020-12-29,520.25,516.94995
2020-12-30,516.15,517.36945
2020-12-31,509.7,518.54614
2021-01-01,515.15,520.0363
2021-01-04,517.1,521.53925
2021-01-05,514.0,522.9085
2021-01-06,525.3,524.0024
2021-01-07,545.25,525.01904
2021-01-08,540.25,526.6308
2021-01-11,547.15,529.1365
2021-01-12,565.75,532.6379
2021-01-13,578.25,537.39575
2021-01-14,580.55,543.6413
2021-01-15,602.65,551.22504
2021-01-18,586.95,560.1654
2021-01-19,592.3,569.6877
2021-01-20,596.15,578.94977
2021-01-21,581.35,587.292
2021-01-22,576.85,593.85815
2021-01-25,580.75,598.0302
2021-01-27,570.8,599.7839
2021-01-28,570.9,599.2442
2021-01-29,553.6,596.8444
2021-02-01,579.15,592.7789
2021-02-02,599.35,588.08856
2021-02-03,608.85,584.29694
2021-02-04,600.6,582.6934
2021-02-05,581.1,583.58936
2021-02-08,597.3,586.1143
2021-02-09,598.95,589.60895
2021-02-10,590.2,593.5254
2021-02-11,598.1,597.1792
2021-02-12,586.25,600.2771
2021-02-15,593.7,602.407
2021-02-16,593.95,603.5677
2021-02-17,593.85,603.94507
2021-02-18,589.05,603.7879
2021-02-19,581.35,603.2129
2021-02-22,570.3,602.1347
2021-02-23,565.55,600.26746
2021-02-24,572.95,597.4251
2021-02-25,579.15,593.9038
2021-02-26,556.3,590.32587
2021-03-01,532.2,586.6754
2021-03-02,541.2,582.31726
2021-03-03,546.3,577.15497
2021-03-04,539.6,571.5981
2021-03-05,532.8,566.048
2021-03-08,525.7,560.7359
2021-03-09,521.75,555.7012
2021-03-10,525.85,550.9221
2021-03-12,524.2,546.55914
2021-03-15,522.85,542.77136
2021-03-16,529.3,539.6529
2021-03-17,522.9,537.3996
2021-03-18,527.2,535.9496
2021-03-19,529.95,535.2478
2021-03-22,528.0,535.2486
2021-03-23,529.25,535.7891
2021-03-24,523.65,536.68964
2021-03-25,507.75,537.6257
2021-03-26,522.5,537.9448
2021-03-30,521.5,537.59326
2021-03-31,517.3,536.7322
2021-04-01,520.8,535.499
2021-04-05,528.25,534.1337
2021-04-06,532.2,533.034
2021-04-07,541.6,532.5702
2021-04-08,543.0,533.1275
2021-04-09,545.25,534.83936
2021-04-12,522.45,537.5967
2021-04-13,536.15,540.50604
